time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,hour
1672575671,39ac45,43.58979,1.40234,6.7,296.6,1152,SAMUCF,True,True,True,NaN,-150.0,125,1672575670.76,1672575670.797,1672574400
1672575672,39ac45,43.58985,1.40234,8.5,290.6,1088,SAMUCF,True,True,True,NaN,-125.0,150,1672575671.346,1672575671.892,1672574400
1672575674,39ac45,43.58995,1.40243,8.9,296.6,960,SAMUCF,True,True,True,NaN,-125.0,162,1672575673.981,1672575673.981,1672574400
1672575675,39ac45,43.58996,1.40245,10,306.9,448,SAMUCF,True,True,True,NaN,-125.0,150,1672575674.527,1672575674.564,1672574400
1672575676,39ac45,43.58999,1.40241,9.4,302,320,SAMUCF,True,True,True,NaN,-100.0,162,1672575675.117,1672575675.117,1672574400
1672575678,39ac45,43.5901,1.40252,12,311.6,192,SAMUCF,True,True,True,NaN,-100.0,175,1672575677.805,1672575677.843,1672574400
1672575679,39ac45,43.59016,1.40257,13,302.5,448,SAMUCF,True,True,True,NaN,-75.0,200,1672575678.391,1672575678.934,1672574400
1672575680,39ac45,43.59022,1.40258,13,302.5,448,SAMUCF,True,True,True,NaN,-75.0,200,1672575679.443,1672575679.986,1672574400
1672575681,39ac45,43.59025,1.40261,13,302.5,448,SAMUCF,True,True,True,NaN,-75.0,200,1672575680.536,1672575680.573,1672574400
1672575682,39ac45,43.59031,1.40266,13.9,300.3,576,SAMUCF,True,True,True,NaN,-50.0,225,1672575681.087,1672575681.671,1672574400
1672575683,39ac45,43.59037,1.40267,14.4,303.7,576,SAMUCF,True,True,True,NaN,-50.0,225,1672575682.183,1672575682.764,1672574400
1672575684,39ac45,43.59043,1.40272,14.4,303.7,704,SAMUCF,True,True,True,NaN,-50.0,225,1672575683.272,1672575683.81,1672574400
1672575685,39ac45,43.59051,1.40274,14.4,303.7,640,SAMUCF,True,True,True,NaN,-25.0,250,1672575684.362,1672575684.949,1672574400
1672575686,39ac45,43.59058,1.40275,14.4,303.7,576,SAMUCF,True,True,True,NaN,-25.0,250,1672575685.493,1672575685.493,1672574400
1672575687,39ac45,43.59063,1.4028,15.3,301.6,576,SAMUCF,True,True,True,NaN,0.0,275,1672575686.543,1672575686.581,1672574400
1672575689,39ac45,43.59074,1.40291,15.3,301.6,576,SAMUCF,True,True,True,NaN,0.0,275,1672575688.286,1672575688.286,1672574400
1672575694,39ac45,43.59095,1.40299,1,180,192,SAMUCF,True,True,True,NaN,25.0,300,1672575693.534,1672575693.571,1672574400
1672575695,39ac45,43.59091,1.40296,1,180,192,SAMUCF,True,True,True,NaN,25.0,300,1672575694.122,1672575694.122,1672574400
1672575696,39ac45,43.59089,1.40294,1,180,192,SAMUCF,True,True,True,NaN,50.0,312,1672575695.72,1672575695.72,1672574400
1672575698,39ac45,43.59077,1.40293,14.8,118.3,192,SAMUCF,True,True,True,NaN,50.0,337,1672575697.946,1672575697.946,1672574400
1672575699,39ac45,43.59069,1.40286,16.1,119.7,256,SAMUCF,True,True,True,NaN,50.0,337,1672575698.996,1672575698.996,1672574400
1672575700,39ac45,43.59067,1.40289,17.9,116.6,256,SAMUCF,True,True,True,NaN,75.0,350,1672575699.544,1672575699.544,1672574400
1672575701,39ac45,43.59053,1.40276,24.2,119.7,448,SAMUCF,True,True,True,NaN,75.0,362,1672575700.64,1672575700.678,1672574400
1672575702,39ac45,43.59042,1.40276,26.9,121.3,384,SAMUCF,True,True,True,NaN,75.0,362,1672575701.765,1672575701.765,1672574400
1672575703,39ac45,43.59026,1.40267,29.7,122.6,384,SAMUCF,True,True,True,NaN,75.0,362,1672575702.855,1672575702.855,1672574400
1672575704,39ac45,43.59011,1.40254,33.6,126.5,512,SAMUCF,True,True,True,NaN,100.0,387,1672575703.947,1672575703.947,1672574400
1672575705,39ac45,43.59001,1.4025,35,126.9,576,SAMUCF,True,True,True,NaN,125.0,387,1672575704.492,1672575704.492,1672574400
1672575706,39ac45,43.58985,1.40239,37.4,124.1,576,SAMUCF,True,True,True,NaN,100.0,400,1672575705.583,1672575705.583,1672574400
